tta_0,d_0,a_1,a_2,is_gap_accepted,RT_go,RT_stay,subj_id
5.25,80.0,0.0,-4.0,0.4239749099508332,0.8198946022035425,1.7721449203110244,all
5.25,80.0,0.0,0.0,0.41456559339888266,0.7948748717518948,1.7070868637139196,all
5.25,80.0,0.0,4.0,0.40971224114539034,0.7830560141651345,1.669340923113708,all
5.25,80.0,4.0,-4.0,0.3497705038953098,0.7433169176115162,1.5698913961192031,all
5.25,80.0,4.0,0.0,0.3473625759827047,0.7364429217794498,1.544734277785211,all
5.25,80.0,4.0,4.0,0.34569904801492085,0.7319358827010394,1.5266181827491077,all
5.25,90.0,-4.0,-4.0,0.778167768666805,0.8890216821313499,2.4255964535701153,all
5.25,90.0,-4.0,0.0,0.7426439277202127,0.8239954526786442,2.3040935395031306,all
5.25,90.0,-4.0,4.0,0.7279008310035165,0.7997281579459026,2.1890342706408843,all
5.25,90.0,0.0,-4.0,0.6568975313820211,0.7882027369939484,2.113807870075057,all
5.25,90.0,0.0,0.0,0.6454631915506179,0.7672615943143749,2.019359679626934,all
5.25,90.0,0.0,4.0,0.6389542416440626,0.7562506653017884,1.9600097237412004,all
5.25,90.0,4.0,-4.0,0.5821909496877752,0.7353054227714421,1.875158261200244,all
5.25,90.0,4.0,0.0,0.5778546184626605,0.7273521022250976,1.830547728526894,all
5.25,90.0,4.0,4.0,0.574800636526325,0.7220299569315197,1.79799156009319,all
5.5,70.0,-4.0,-4.0,0.5272153507318755,1.467048117044349,1.608620327556494,all
5.5,70.0,-4.0,0.0,0.36010613530600155,0.987570211127095,1.7672639549889044,all
5.5,70.0,-4.0,4.0,0.33846585894542996,0.9225910528391547,1.6765529586086005,all
5.5,70.0,0.0,-4.0,0.22881097916258258,0.8283809651772293,1.503318244618927,all
5.5,70.0,0.0,0.0,0.2223765499628848,0.7966546240351665,1.4534499615826917,all
5.5,70.0,0.0,4.0,0.21968249219305605,0.7848207257809809,1.4287128574676664,all
5.5,70.0,4.0,-4.0,0.1758348331782288,0.7287787780985938,1.3235501275713863,all
5.5,70.0,4.0,0.0,0.17487006145434222,0.7234345894494455,1.3095950782214598,all
5.5,70.0,4.0,4.0,0.17423554636333272,0.7201196580947481,1.2999683502879693,all
5.5,80.0,-4.0,-4.0,0.70814285326851,1.1276345854517997,2.0874084905531496,all
5.5,80.0,-4.0,0.0,0.6113880172340579,0.9289953716308387,2.1139672046674205,all
5.5,80.0,-4.0,4.0,0.586288086774292,0.8812564172372652,1.9957794627924907,all
5.5,80.0,0.0,-4.0,0.4705529435522975,0.8408346403266101,1.8725960088992806,all
5.5,80.0,0.0,0.0,0.4570497906833645,0.8071328180838975,1.786703500197424,all
5.5,80.0,0.0,4.0,0.45065556356808206,0.7926469562503154,1.7392939946413297,all
5.5,80.0,4.0,-4.0,0.38362817346282435,0.7522099337880743,1.6337664580769713,all
5.5,80.0,4.0,0.0,0.380420904542985,0.7436506818893879,1.6020440708044728,all
5.5,80.0,4.0,4.0,0.3782930736373927,0.7382919632818791,1.5799864969022208,all
5.5,90.0,-4.0,-4.0,0.8170108295391705,0.8941575653172535,2.384141899987459,all
